path,class,split
plantwild/extracted/plantwild/images/apple scab/google_0208.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0055.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0113.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0139.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/86.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0119.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/40.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/29.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/74.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/65.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0001.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0254.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0104.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0158.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0331.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0152.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0330.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0212.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0230.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/18.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/77.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0031.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/15.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/38.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0192.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0025.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0030.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/51.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0154.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0274.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0177.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0174.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0065.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0095.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0163.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0069.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0169.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0020.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0053.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0167.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0216.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0098.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0284.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0107.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/56.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/85.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/34.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0062.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/50.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0060.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0223.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/1.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0209.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0188.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0312.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0249.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0108.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0007.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0178.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0124.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/37.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/11.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0251.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/68 - Copy.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0272.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0310.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0168.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0019.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0144.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0103.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0032.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/46.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/46 - Copy.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/35.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0333.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/30.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0058.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0064.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0130.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0283.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0236.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0147.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0122.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0034.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0097.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0191.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0260.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0084.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/68 - Copy (2).jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/43 - Copy.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/71.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/43.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0262.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0117.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0304.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0059.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0121.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0143.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0148.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0091.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/6.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0317.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0247.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0024.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/95.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/16.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0222.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/21.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0000.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0133.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/61.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0291.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0273.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0115.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/73.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0207.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0045.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0200.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/67.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple scab/google_0264.jpg,Apple___Apple_scab,fit
plantwild/extracted/plantwild/images/apple black rot/google_0058.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0175.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/38 - Copy (2).jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/5.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/44.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/17.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0045.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0027.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/58.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/155.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0024.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0000.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0016.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0145.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/164.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0025.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0056.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/109.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0146.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0062.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0190.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0112.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0182.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0104.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0160.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0133.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/19.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0178.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/171.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0026.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0090.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0085.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0186.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0002.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0031.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/86.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0155.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0021.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/167.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/72.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0174.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0074.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/48.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0046.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/61.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/52.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0037.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/33.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/168.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/100.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0010.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0055.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0048.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/11.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/14.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0137.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/66.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0052.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/4.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0053.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/187.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0113.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0156.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0166.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0097.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/38 - Copy.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0221.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/111.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/3.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/59.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/147.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/12.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/21.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/69.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0051.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0015.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0067.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/38.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/175.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0003.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0041.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/28.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/156.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0023.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0018.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0157.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0181.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0118.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/149.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0013.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0029.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/80.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0077.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0064.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0082.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0012.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0005.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0177.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0022.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/8.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/60.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0099.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/32.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0122.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/20.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/143.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/39.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/151.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0078.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/70.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/18.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/78.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0070.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0148.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/9.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0006.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0072.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/10.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/144.jpg,Apple___Black_rot,fit
plantwild/extracted/plantwild/images/apple black rot/google_0066.jpg,Apple___Black_rot,fit
